Suggestion,Intent,Volume,CPC,PPC,Trend
red herring 11e3f530,0,5447549,6421130,0.0241597838801,"[7153077, 5423525, 9165435, 2773059, 6295563, 5153319, 4870199, 9116852, 2638195, 2363337, 742030, 9676008]"
red herring f35e83f2,0,3664640,18627626,0.266713912891,"[2575149, 4222680, 4590991, 8698508, 4519197, 1527558, 4364089, 4154561, 1023092, 5233532, 1248061, 1818270]"
bad 8a7d7ea4,0,4871947,10433209,0.955998916336,"[7065576, 864828, 6253803, 8347672, 9888856, 3723687, 821624, 7649206, 3895667, 1224869, 4471921, 4255659]"
bad cc2dce96,0,6064488,3815224,0.820617012597,"[8001277, 9957115, 9276145, 4662856, 8778231, 9917855, 2510033, 1839373, 7797230, 4106, 8747360, 1282286]"
bad f4b5aae9,0,5104095,18186507,0.930759849604,"[7119357, 6748997, 9457528, 3969404, 3182999, 913958, 76328, 5928947, 2423415, 6635529, 9263238, 5529444]"
red herring b24345a3,0,5358504,16761024,0.210763374074,"[7123054, 6791363, 1238530, 6762799, 8171684, 1665942, 7364368, 6580819, 8322595, 1348068, 7243721, 1689111]"
bad 3d262bbd,0,4383471,3276731,0.848408183108,"[3092872, 45878, 7339019, 8057089, 5854621, 4033401, 6735075, 2744541, 2922143, 9032379, 974383, 1770255]"
bad 5e52f5c6,0,4862716,8521666,0.368197823014,"[6101818, 4429056, 1458055, 1895130, 874569, 5247496, 161440, 6160064, 9809875, 9086293, 7388994, 5739806]"
bad e950b871,0,4685040,11200990,0.149169142927,"[4811092, 3737617, 1647762, 4422390, 6050178, 7673787, 3201125, 8474824, 1191597, 6746831, 7070650, 1192637]"
bad 8fb465a6,0,5491891,19961350,0.515088409959,"[3094352, 8367949, 4154072, 6157570, 7472873, 3651175, 1857585, 9629509, 7518940, 3804622, 7484194, 2709851]"
red herring 3c7202bd,0,4053256,9951402,0.198054468025,"[2792587, 9007745, 90365, 284598, 8198092, 162299, 3402781, 2661370, 7417389, 3992304, 2921085, 7708463]"
red herring 85e4584f,0,5591466,1331841,0.828339912941,"[718784, 5660614, 6530078, 6223629, 2010165, 152952, 8716168, 7689079, 9347540, 9198924, 7693782, 3155882]"
red herring 4e74ec8,0,5378016,7780948,0.490266257881,"[1976756, 9097010, 2011617, 7064208, 2369729, 1863347, 1457380, 8462930, 4115037, 8607538, 8934090, 8576555]"
bad d5fb40af,0,3581489,7892033,0.6023011519,"[5244935, 1857724, 1802128, 180698, 8597981, 4082784, 5857883, 343426, 4212308, 7836714, 458283, 2503011]"
bad 7d6ac52a,0,5311799,10336062,0.330697230275,"[7435671, 7017448, 3923002, 4811842, 1626977, 5081212, 6678808, 7791257, 3041708, 5058777, 2905312, 8369578]"
red herring 34348d9,0,4208165,5992359,0.372131871495,"[5066749, 4707862, 4294398, 5080001, 8787824, 2980335, 1917379, 3135278, 2158017, 3026972, 6771579, 2571594]"
bad 73f625b7,0,4158136,490475,0.826619282709,"[324161, 5728100, 2560881, 5948619, 2932119, 3195704, 7458481, 9290609, 32657, 8567808, 3704975, 153522]"
bad 6b39117e,0,5117668,2630392,0.382691123639,"[8992851, 3644718, 5274461, 230737, 2883481, 3802152, 1876894, 9554721, 9898430, 2315699, 6610011, 6327863]"
bad 87e624b7,0,3766230,19074094,0.767059153244,"[1177754, 8249611, 1108244, 6046020, 795518, 455978, 60356, 4673496, 3848081, 8292730, 4876975, 5609999]"
red herring c12f7675,0,4980314,17079664,0.640338691908,"[9703293, 8200440, 5817013, 2865138, 1955489, 1003871, 9251530, 5462459, 8013650, 85209, 2562144, 4843537]"
red herring f0316609,0,4054932,14122310,0.789936029382,"[317160, 2143707, 9777115, 5506157, 2694132, 8830898, 6938463, 241722, 1976392, 3718683, 5317539, 1197221]"
red herring aaef40bd,0,4369103,19010240,0.887017379397,"[81875, 2134737, 1048463, 5431436, 2415289, 6325511, 4780801, 5705595, 6065390, 3773524, 6964551, 7702072]"
red herring 6d19a105,0,5462510,14029430,0.993026488157,"[1737441, 2707062, 1169163, 9801858, 2737690, 8739373, 7835129, 9381988, 7403759, 1279400, 4934851, 7822414]"
red herring 726feb4,0,6195321,11391418,0.509145847325,"[7789185, 5344983, 2272611, 9598296, 7833940, 1869298, 5684047, 8909262, 4231359, 8986631, 7774707, 4049536]"
bad a3a857f1,0,4752550,24748,0.156252864387,"[9517251, 5562270, 777244, 6220108, 1473027, 2616880, 2136146, 8253612, 3181977, 9817880, 43889, 7430324]"
red herring 89b1b87,0,5087800,1514993,0.445202921258,"[233153, 305281, 8126458, 7776241, 2354972, 5071550, 588580, 9541843, 6974917, 7321522, 7135431, 5623656]"
bad 60705b27,0,6161576,13557206,0.0627532634251,"[9073170, 2483120, 6610190, 8320523, 3821360, 9791446, 9080805, 8879479, 4149887, 6740982, 3480296, 1507655]"
red herring 5fb998a0,0,4771975,14232094,0.634305125999,"[4028679, 199158, 4467332, 2560227, 9217589, 3475707, 6905379, 8266862, 5427622, 949758, 4472755, 7292640]"
red herring 2699e116,0,6210434,19653919,0.252409644343,"[4690881, 4886716, 3603028, 4080255, 2238446, 7763796, 7228428, 7478993, 9735133, 8738769, 8650264, 5430504]"
bad 1a066bf5,0,4601043,631231,0.135559460892,"[4075133, 528074, 1085868, 4293650, 7127287, 5455495, 6822056, 4215298, 1878479, 8372622, 2805318, 8553239]"
bad 712ee9a,0,5528953,16800787,0.0496853474307,"[9869171, 7008724, 7785144, 4809675, 4014719, 4017815, 6328622, 8694304, 2787492, 2546978, 638544, 7846248]"
red herring c8ab340f,0,4730851,14038049,0.811415743169,"[2108428, 4579447, 3354181, 3429739, 8739256, 1196636, 6904421, 4636521, 7065396, 7804231, 6718281, 233676]"
bad 46f95d9f,0,3165755,15825574,0.379427280076,"[4015136, 4757038, 2223904, 3860931, 2019713, 3572846, 1111814, 266354, 2555279, 3126369, 2714669, 7765009]"
bad d27d9245,0,4622134,4067186,0.874609297578,"[1808928, 7138425, 297551, 9114482, 2990158, 3131252, 6331698, 5677216, 1794920, 2309145, 9044684, 5827151]"
bad 11720fa2,0,4460855,18157661,0.206472561401,"[4800797, 2262220, 8073836, 1081787, 5327157, 2890076, 5217132, 6844819, 7175879, 1644849, 6193998, 2017718]"
red herring d62f286,0,6283874,17957,0.297278800513,"[4287388, 3157038, 6157581, 7130380, 6794222, 5897031, 9600229, 5994055, 8100982, 5241826, 8506766, 4538999]"
red herring 80d30a38,0,4978158,17433942,0.63245027485,"[9045244, 9726782, 3966238, 3696664, 4408417, 7053872, 3247527, 1458355, 1687191, 9093356, 4784888, 1569365]"
red herring c26b407,0,4735320,2060875,0.508527994444,"[4605079, 2888088, 8180480, 6121891, 3304484, 6743737, 5711149, 619183, 2681307, 4177910, 7757321, 4033215]"
red herring 7adeb477,0,5067399,862856,0.31565195091,"[1938353, 3510257, 9110564, 2552828, 3772905, 404982, 8393870, 5375635, 906358, 8050427, 9005699, 7786913]"
red herring 237185bc,0,5538746,12963368,0.0281357816641,"[8055548, 8514124, 8331448, 6886731, 1697594, 5413680, 8049811, 7991347, 997226, 5397617, 1955246, 3174586]"
red herring 30a28fe2,0,6085603,2549536,0.92440638331,"[2669913, 5471618, 593139, 9122519, 8375380, 8364951, 5677929, 6479451, 8541589, 1713328, 9084873, 6932547]"
red herring e377eacf,0,5348490,3511252,0.308103915993,"[4263914, 81365, 9923178, 9774930, 4552196, 8838012, 4593457, 5956986, 4783097, 5611829, 4068026, 1734896]"
bad b64050be,0,5161356,2746553,0.578577731121,"[4446013, 3942865, 8024206, 7715575, 3658931, 5611548, 7813787, 7021533, 925254, 6481560, 2794256, 3500748]"
red herring 5b3d4431,0,4863997,18549951,0.382500087592,"[9400050, 4495051, 9986587, 6946525, 1500594, 5453250, 5038622, 1814452, 1804820, 4947641, 1829779, 5150600]"
red herring 4284f16f,0,6953698,6985747,0.124907147845,"[7423275, 9460056, 5378074, 6889495, 9406860, 8604027, 8349747, 205295, 5923175, 8004054, 8592540, 5207781]"
bad 1ceefb42,0,6068303,17004223,0.309069608131,"[2269636, 9965747, 4056430, 2593531, 9068439, 3293027, 9338246, 8760135, 6678223, 9986290, 6653588, 156350]"
red herring 78be66b0,0,5562771,9023670,0.572001345701,"[1591038, 7271551, 9865526, 9217041, 2116051, 7404443, 5374701, 3221272, 2302132, 5167978, 6206114, 7015407]"
bad 895e7bb7,0,4604920,929583,0.977529766356,"[8438672, 1224048, 5223466, 266070, 2416462, 5568679, 9373272, 5458980, 9063428, 1039191, 1841607, 5345168]"
bad fd1589fe,0,5906747,8016936,0.364514922977,"[4358162, 5587671, 421733, 4068107, 9081458, 3764402, 7622771, 9743874, 1925257, 9924565, 6674827, 7708148]"
red herring aff4df34,0,5023273,13221450,0.138199530779,"[4465445, 313167, 2663956, 3825433, 9444894, 8353955, 9406659, 4736684, 6871070, 5794631, 2299722, 2103664]"
red herring d67b48be,0,6176649,3275737,0.801786146396,"[8677254, 9226344, 5353878, 7738503, 7928236, 8339549, 4305892, 9149373, 2208221, 549040, 3826122, 6817386]"
bad 232fad89,0,4740131,691433,0.572075213456,"[280088, 6757078, 6922353, 6267841, 2397064, 1956243, 1100042, 7939326, 3869226, 7907976, 1778210, 9706134]"
bad 4d7122b9,0,6318351,17215760,0.0372615942343,"[9230274, 6994923, 8293534, 4704122, 4011205, 5963196, 4645219, 8090669, 2834151, 9547378, 3087347, 8418198]"
red herring 4a01c927,0,4599781,10334037,0.982355400575,"[7522582, 9010618, 6312731, 172835, 844109, 5755394, 4271317, 4290019, 5912393, 1096805, 2517539, 7491036]"
bad 5124d178,0,4361536,15518090,0.610678809886,"[7992963, 100802, 9580313, 1235988, 4300932, 1995972, 3133848, 5566118, 8137124, 5150512, 2159660, 2984205]"
red herring 29e0545e,0,3951068,3981115,0.901454697985,"[9832537, 8488770, 5950321, 1469546, 651355, 2859151, 826240, 6816143, 238412, 7963006, 940138, 1377199]"
red herring 1cbe0138,0,4379087,16759031,0.18765516352,"[2970021, 6185997, 6963014, 1102910, 2853944, 4942176, 3753184, 2223131, 9137015, 797863, 4243048, 7376751]"
bad 5c199b0a,0,4009310,3729097,0.901211192311,"[5712713, 5984352, 4462011, 6779554, 2365837, 4539631, 1577690, 3176559, 3785878, 1063089, 7934843, 729573]"
red herring 7483e1a4,0,4966038,7410713,0.566502218757,"[4927553, 153994, 9148338, 4126162, 9417476, 1860122, 9039475, 6115714, 2386211, 1854924, 7110354, 3452140]"
bad 6d9b9782,0,5480123,9127138,0.735239125422,"[936645, 2587265, 9907819, 8204583, 4390304, 8106583, 9718148, 6138773, 2833645, 3310227, 4484521, 5142967]"
bad 438a6244,0,3829729,7494054,0.750022068272,"[2968380, 5310438, 6981763, 4964368, 7750404, 5969411, 3231053, 698943, 90423, 611895, 4171746, 3207925]"
bad e0098ed4,0,5193455,19234116,0.687575393959,"[9992207, 3967375, 907379, 7726482, 9966845, 3865082, 1760944, 6584233, 4837403, 1435451, 2809749, 8468312]"
bad 1a063edf,0,5993495,4681418,0.706425876734,"[8988988, 2591245, 952142, 9118899, 6842241, 9545415, 8485277, 6838757, 6060294, 5894490, 6282059, 322140]"
red herring fa81850f,0,5951115,55818,0.208019119357,"[7487595, 4805712, 6455022, 6846583, 5587183, 4229722, 4479844, 7004749, 5557399, 9246810, 5452854, 4259909]"
red herring 8bb8ac5,0,4804979,12183081,0.321877171549,"[3596276, 8475215, 2012970, 7926309, 4288321, 8121146, 2876172, 4818116, 3944423, 3900543, 4842021, 2858243]"
bad cf3ed416,0,4634051,18288036,0.669585667532,"[1558731, 3026141, 3877656, 5029612, 3084910, 4084772, 6801150, 8836297, 9046960, 3780479, 2302401, 4179512]"
red herring 79bff377,0,4379779,7307684,0.623656386924,"[5887779, 2980662, 8048815, 2397982, 1996546, 1471271, 2450987, 4550829, 4440930, 2225772, 7608040, 8497741]"
bad 91344d7,0,5855231,13130742,0.919170293187,"[8181531, 3949743, 7231517, 3273094, 8320687, 9667908, 1401397, 7857180, 692436, 3424311, 9008267, 7254702]"
bad 920fcff9,0,5693094,11424609,0.71398554094,"[9666336, 6219090, 3746684, 8696307, 7291066, 9265315, 9780797, 2757842, 455564, 1606048, 18011, 8814078]"
red herring 85d0bba1,0,4588019,13047074,0.869947101844,"[7065101, 3649961, 7804421, 2254506, 5974197, 9200926, 7281659, 5262961, 2342704, 992073, 750595, 2477125]"
red herring 7656277,0,5148073,4776737,0.748817208068,"[9028227, 2477745, 7355564, 2851873, 8626781, 1551549, 2062094, 9387516, 6714965, 1588160, 5531598, 4600810]"
bad 1e43da,0,5637544,7058316,0.0798684133644,"[7362622, 4065415, 4682304, 1792758, 9033065, 6666143, 4907879, 7401388, 4989684, 7395503, 6175795, 3177973]"
bad 10593e22,0,4501597,12794423,0.217669083334,"[2639594, 5344089, 4925390, 8320869, 1253162, 8233943, 8776318, 3817243, 2193260, 3490694, 4390650, 633961]"
bad f9a9600c,0,4497926,7256524,0.637091945143,"[2083114, 735023, 7741625, 8956529, 5072950, 2683344, 496414, 813197, 8903101, 4578428, 9455579, 2455808]"
bad 62f6767d,0,4957862,4599756,0.500514139717,"[8571830, 6844189, 4589679, 8625544, 7874045, 2572554, 1220731, 1725682, 1536739, 6097138, 1304881, 8531343]"
red herring 303ed56f,0,5496820,7019564,0.334408850026,"[4966161, 7552543, 2011656, 6467127, 869552, 8628285, 3151679, 5649288, 1541521, 9295363, 6303784, 9524882]"
red herring 91fd79fa,0,4705799,19708763,0.200140604183,"[8085997, 1547091, 7645537, 4687552, 2043694, 8983432, 3498132, 77785, 876334, 7716372, 5257367, 6050304]"
bad 13d51213,0,5732632,4702895,0.204743977897,"[8671344, 2997632, 1832456, 3682654, 3580586, 3680296, 7970890, 6298092, 8551348, 6458369, 7474244, 7593677]"
bad 5fcee6dd,0,4716751,11435442,0.0229424666093,"[7329311, 7064488, 7683161, 7682597, 3334601, 1420354, 1181864, 3873375, 8341040, 4317804, 4051619, 320804]"
bad 723021b5,0,6230756,10023037,0.904483667505,"[9604039, 2317019, 6554655, 9720979, 5710017, 9925205, 7217439, 9382931, 6049830, 1702126, 965305, 5619532]"
bad 46ae50df,0,3781118,19155744,0.899338986765,"[870776, 6540902, 4081820, 6710704, 5426259, 781851, 8504031, 3326242, 657597, 323507, 5883824, 2265905]"
bad 520439e6,0,6467600,15523359,0.829762732136,"[5672623, 6366527, 9942632, 2640715, 5827419, 9659960, 6256593, 7688714, 7150297, 3657383, 7588025, 5160321]"
bad 31f62d8a,0,4175641,2994920,0.70628484786,"[4113057, 3214364, 5284441, 3765955, 1656179, 2221019, 3165460, 6811342, 1464744, 5406433, 5823357, 7181347]"
bad 8861a5a5,0,4470991,10085271,0.305325633708,"[9178723, 5120378, 646500, 28378, 9936343, 3124036, 8485571, 2883781, 2221104, 2254033, 8848613, 924442]"
red herring a3b32904,0,5266201,18534224,0.577243116461,"[8127361, 4665548, 2810147, 8140158, 3339828, 9592028, 1422653, 7710206, 3404586, 3739728, 442304, 9799875]"
bad 86044a9b,0,3469934,18471380,0.670792700516,"[3453788, 6060498, 483664, 7853860, 6613680, 1022077, 92496, 552981, 1212878, 2430624, 3423453, 8439210]"
bad 941bf9c3,0,5150418,6382429,0.911234622834,"[1470329, 9404077, 2752899, 3034120, 3885249, 5437243, 8941373, 2499293, 7434062, 8861862, 556432, 7528077]"
red herring 58e13858,0,5175293,13395476,0.65064733641,"[2799982, 5336360, 9073649, 4341685, 7898750, 9211578, 485253, 8601059, 682304, 4725585, 6628390, 2318929]"
bad a6d0dd74,0,7181475,15476964,0.631907589386,"[8139011, 7815767, 8946650, 5577662, 9256851, 9637506, 7742736, 5256066, 3585034, 8322657, 7756008, 4141753]"
bad f6105519,0,4499356,14688101,0.0758469458589,"[6120828, 5851469, 1891032, 2057811, 4605814, 6817752, 4861870, 978787, 8162806, 3683247, 2003420, 6957447]"
bad 641c7c9,0,3878121,8904932,0.834161296319,"[2101870, 7561741, 1496126, 3363369, 6764827, 1710069, 7419734, 295472, 7799281, 2562742, 1148796, 4313431]"
red herring 7e8dc3ff,0,4257054,19956741,0.198437537717,"[795993, 313571, 7558417, 935540, 6076343, 1747794, 6098234, 3410114, 9838925, 8488694, 332973, 5488051]"
bad f085ee88,0,4295512,6984113,0.0259882737696,"[4846939, 5086282, 1713631, 3771166, 5889555, 4948797, 7691934, 4055613, 3453072, 3726056, 2235124, 4127979]"
bad 2e77569,0,5005083,19753279,0.538114987766,"[8109844, 7675721, 7021440, 4420939, 4812474, 1606275, 7642362, 5704698, 3015504, 1554462, 5396447, 3100836]"
bad 4ae4d2eb,0,4592078,16511119,0.554701576213,"[4538341, 4409708, 4620352, 5155776, 2284262, 4571766, 4471208, 8116875, 8212081, 749099, 5066061, 2909410]"
red herring da8d12b8,0,5095247,3405328,0.837405134539,"[2136246, 4724744, 4790450, 9828077, 7057485, 1173687, 3029191, 6961818, 5275114, 7219818, 310082, 8636258]"
bad 7e225672,0,4019233,8331569,0.852964829375,"[6553430, 1173084, 4475059, 1502210, 4963363, 298994, 4658038, 4100991, 3730816, 2666927, 8229330, 5878565]"
bad 89772e1d,0,4147289,14416726,0.404064109907,"[6090852, 5784115, 6392765, 4962921, 931795, 879777, 4388147, 2770692, 6416227, 2431376, 7775883, 942920]"
bad f8f7b973,0,4993644,16816536,0.697708944324,"[6256358, 5804161, 3517967, 3680271, 1378918, 3701177, 7352220, 7346102, 8972271, 7383412, 24439, 4506439]"
bad 722a62fd,0,5304640,4166829,0.102774054853,"[2237232, 7966799, 4752626, 37234, 4190159, 6495386, 659958, 8435788, 8379463, 8121878, 8464689, 3914475]"
bad b2f502d2,0,5178381,8156223,0.0463000787668,"[8030776, 8491493, 8804076, 2464353, 5457839, 6644044, 5596598, 1130371, 3285722, 520279, 4573177, 7141847]"
red herring 709830c8,0,5001226,5080404,0.5961672184,"[8069108, 3582938, 858736, 610888, 8743226, 5096393, 8938102, 2046651, 2181512, 8757494, 8826557, 2303118]"
red herring 111a774b,0,4258739,8457545,0.286334316833,"[1306665, 389532, 2275696, 4328479, 7381843, 4418203, 1315304, 6409907, 4986893, 7193369, 2606416, 8492563]"
red herring 821bae5f,0,4369600,5590396,0.412803043543,"[1307802, 8640028, 1526418, 1632325, 7003353, 5000000, 2618979, 2569737, 8692172, 8074417, 468581, 4901394]"
bad 7512e878,0,4467015,10584641,0.136198014388,"[3458765, 396306, 4176673, 5494391, 1172332, 8106077, 4325635, 2231678, 8716493, 5418608, 1788638, 8318595]"
bad 8af1b4d4,0,5038658,15457243,0.549834341216,"[5267915, 6440983, 6364844, 2319859, 6024388, 5203349, 433692, 7660790, 3810285, 1475268, 7627180, 7835343]"
bad 170c3ea9,0,4516825,7989569,0.100994834361,"[7200856, 1963613, 9523931, 2146180, 1843136, 4590105, 5292893, 3242641, 3519196, 6665898, 5913598, 2299864]"
bad 46fa924a,0,3942680,19955115,0.604796738436,"[4164879, 2295351, 4310865, 1844411, 6501533, 214664, 911465, 4617635, 9313379, 6427325, 2996029, 3714632]"
bad 43f8f67a,0,6513434,9222172,0.248114550114,"[1403374, 7168810, 6601729, 7827964, 9549217, 8715085, 3429427, 9508759, 6234185, 7264220, 3919067, 6539379]"
red herring 7ba0b03f,0,4520152,2197623,0.665096377906,"[2600459, 1112787, 8489675, 5788223, 5931926, 6745878, 1924160, 1977775, 9468738, 632157, 2481191, 7088855]"
bad 83e576be,0,5636484,11388312,0.665610735529,"[7457262, 9463285, 5651672, 2541732, 3270169, 6313128, 2650637, 4624568, 8910159, 3691569, 6172624, 6891008]"
red herring 746fd764,0,6670214,4225818,0.995598742489,"[4828267, 3961682, 7850429, 6927787, 7121115, 9689491, 2772203, 9234937, 6918135, 9559044, 3995209, 7184269]"
bad acb10a69,0,4697707,18357991,0.758222834465,"[445102, 5993628, 2695616, 7539239, 8728396, 1604724, 3960103, 8384382, 2593493, 5033077, 3228269, 6166458]"
bad 5ccb4899,0,5313811,8876894,0.75606704286,"[8725026, 1697705, 6717679, 2644822, 1894478, 5235022, 5057732, 9451546, 9083544, 3293827, 3366519, 6597840]"
red herring 8e26e9a,0,5124885,15619834,0.0823043943463,"[1498265, 9847887, 6811685, 9596250, 1410677, 5797530, 6265408, 1051688, 1758246, 7652660, 7007999, 2800328]"
bad 15f1d6c4,0,3842924,17811707,0.22423152215,"[4135959, 2130041, 6159453, 6196410, 7854777, 2055643, 2430156, 6283521, 5589862, 970824, 1188281, 1120161]"
bad 3659e422,0,4679027,19830909,0.528679648009,"[104776, 2009218, 2133047, 5101023, 6411550, 6391255, 8723711, 9154274, 2795138, 2654080, 4538150, 6132112]"
red herring b18f0b17,0,4174381,17967207,0.932890796587,"[731787, 5592147, 6650077, 3273573, 1092020, 6175144, 3703124, 2639675, 9435146, 1194074, 4211654, 5394155]"
bad 3c02e801,0,4231409,11998583,0.800675100832,"[5418395, 1601947, 7223220, 7377824, 7762211, 984001, 9774619, 2583715, 3073389, 3422941, 1379783, 174865]"
bad 1c99da9,0,4780667,15004384,0.710478271296,"[5327972, 2293134, 173061, 8771557, 372176, 8174095, 8971531, 4876819, 3986612, 6142909, 5982213, 2295926]"
red herring 26b17aec,0,6651390,17334785,0.687511032622,"[8556609, 7904928, 7985744, 4044463, 7897059, 795373, 5504303, 9430453, 5595374, 8050677, 6435590, 7616115]"
bad 17aab7ae,0,4366637,574702,0.264894052421,"[9351518, 1345596, 2217140, 2077077, 3549762, 8147192, 8398045, 3731305, 1093301, 3899922, 2252815, 6335971]"
red herring f5a3f961,0,4827232,5648223,0.865463010343,"[5442505, 2025511, 5874857, 6238310, 3461475, 9660949, 2179491, 612721, 4534006, 2308423, 7485841, 8102699]"
bad e7c618a7,0,5524996,14082803,0.816864643776,"[3673724, 9679773, 6557415, 6592776, 5493567, 1513295, 2472538, 2787296, 6414434, 5844768, 8454009, 6816367]"
